" ""A sincere compliment is one of the most effective tools to teach and motivate others.""

~ Zig Ziglar",success
" ""God is saying, “Get ready, I’m about to restore the years. Your latter days will be better than your former days.""

~ Joel Osteen",success
" ""God would not have put a dream in your heart if He had not already given you everything you need to fulfill it.""

~ Joel Osteen",success
" ""If you develop an image of success, health, abundance, joy, peace, happiness, nothing on earth will be able to hold those things from you.""

~ Joel Osteen",success
" ""The ultimate connection is when you are connected to the creator of the universe.""

~ Joel Osteen",success
A comfort zone is a beautiful place but nothing ever grows there.,success
A soul that carries empathy is a soul that has survived enormous pain.,success
" A very inspiring book for people who feel lost or struggling or feeling depressed..........
A spiritual journey towards self-discovery........ 
Available free..........

https://t.co/GAi7FHiXHS",success
" A very inspiring book for people who feel lost or struggling or feeling depressed...........
A spiritual journey towards self-discovery......... 
Available free.........

https://t.co/GAi7FHiXHS",success
" A very inspiring book for people who feel lost or struggling or feeling depressed...........
A spiritual journey towards self-discovery......... 
Available free..............

https://t.co/GAi7FHiXHS",success
" AdamMGrant ""Leadership is about empathy. It is about having the ability to relate to and connect with people for the purpose of inspiring and empowering their lives.""

~ Oprah Winfrey",success
Adeyemi20440778 🙏🙏😊,happiness
Adversity and setbacks are there to teach us certain lessons that we need to learn in order to be able to have the wisdom to move to the next level of success!,success
AkashGh39972132 Yes 🙏😊,happiness
" AnustupEb We can be great and still be kind!
Achieving a lot is awesome but if we own something, it's for us and only us then why be pompous!
Being modest is not too tough 😊",happiness
Arrogance will ruin success. Stay humble and quiet. Humility is the foundation to help success grow. Be proud of your success but never brag.,success
" AskJan If it adds to drive, stick to it. If it lowers your esteem, let it go. Same circumstances, different perspectives and responses 😊",happiness
BalharaSamiksha 🦋🌟😊,happiness
" BarackObama  johndoerr ""No challenge poses a greater threat to future generations than climate change.""

~ Barack Obama",success
" BarackObama  johndoerr ""There’s one issue that will define the contours of this century more dramatically than any other, and that is the urgent and growing threat of a changing climate.""

~ Barack Obama",success
" BarackObama ""In the face of impossible odds, people who love this country can change it.""

~ Barack Obama",success
Be a good person. A good friend and a better lover. Live the life you want and never quit following your dreams.,success
Be mindful. Be grateful. Be positive. Be true. Be kind.,success
" Be thankful for all the struggles you go through. They make you stronger, wiser and humble. Don't let it break you. Let it make you.",success
" Be who you are, and say what you feel. It's not being rude, it's being real.",success
" Before you can change the world, change yourself.",success
" BlessedMonk_  DalaiLama A very inspiring book for people who feel lost or struggling or feeling depressed...........
A spiritual journey towards self-discovery......... 
Available free........

https://t.co/GAi7FHiXHS",success
" BlessedMonk_  DalaiLama Our prime purpose in this life is to help others. And if you can't help them, at least don't hurt them.

~  ",success
" BlessedMonk_  DalaiLama Patience is the most powerful tool a man can ever possess.

It has a divine beauty and it gives immense pleasure to the one who holds it.

Just like the mud gets glorified by a blooming lotus, our life gets glorified by patience.
",success
" BlessedMonk_  DalaiLama People take different roads seeking fulfillment and happiness. Just because they’re not on your road doesn’t mean they’ve gotten lost.

― ",success
" BlessedMonk_  DalaiLama This is my simple religion. No need for temples. No need for complicated philosophy. Your own mind, your own heart is the temple. Your philosophy is simple kindness.

 ― ",success
Bosede68620653 🙏,happiness
CadoCalm 👍😊,happiness
" Chris57172873 Yes they indeed are!
We can do our little bit by sharing a genuine smile and being a little kind, to begin with!
That does make a difference.",happiness
Chris57172873 🙏🙏,happiness
" Clear the clutter from your mind. Write it down. Whatever’s on your mind, get it on paper, get it out of your mind. Nothing as powerful as a clear mind.",success
" Dear God, show me how to take who I am, who I want to be, and what I can do, and use it for a purpose greater than myself.",success
" Destiny is never prewritten. You write your life with your hands, with your own actions.",success
Do not give up; the beginning is always the hardest.,success
" Don't be afraid of your past; it has no power over you except what you give it.

Be thankful for all you have learned in the past, even from your mistakes, and also be thankful that today is a new beginning and that something good is goin",success
" Don't be afraid of your past; it has no power over you except what you give it.

Be thankful for all you have learned in the past, even from your mistakes, and also be thankful that today is a new beginning and that something good is going to ",success
Don't be afraid to fail. Don't waste energy trying to cover up failure. Learn from your failures and go on to the next challenge.,success
Don't force anything. Let life be a deep let-go. God opens millions of flowers everyday without forcing their buds.,success
Don't stress. Do your best. Forget the rest.,success
" EmannepMsc Agreed it isn't easy.
But as long as we keep working on self, we contribute to make world a better place 😊💫",happiness
" Embrace being different; being who you are. Being authentic, genuine and unique makes you extraordinary.

True beauty is your conviction of real you. Your attitude, confidence, and charisma shine from within.",success
" Epic_Fairy The pain is not to make u miserable, the pain is to make you more aware! And when you are aware, misery disappears ~",spiritual
" Every little and big thing in life is a teacher. When you pay attention you learn what to embrace or what to let go, from everything from nature, humans, birds, flowers, whatever you put your sight on.

The secret to learning is your will",success
